Source,Target,JourneyText,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,Weight
"Eastbourne Mews, Paddington","Eastbourne Mews, Paddington","Eastbourne Mews, Paddington to Eastbourne Mews, Paddington",0,1,0,0,0,0,0,0,1
"Devonshire Terrace, Bayswater","Pembridge Villas, Notting Hill","Devonshire Terrace, Bayswater to Pembridge Villas, Notting Hill",0,1,0,0,0,0,0,0,1
"Wardour Street, Soho","Speakers' Corner 2, Hyde Park","Wardour Street, Soho to Speakers' Corner 2, Hyde Park",0,1,0,0,1,0,0,0,2
"Speakers' Corner 2, Hyde Park","Devonshire Terrace, Bayswater","Speakers' Corner 2, Hyde Park to Devonshire Terrace, Bayswater",0,1,0,0,1,0,0,0,2
"Hereford Road, Bayswater","Speakers' Corner 2, Hyde Park","Hereford Road, Bayswater to Speakers' Corner 2, Hyde Park",1,1,2,0,0,0,0,0,4
"Paddington Street, Marylebone","Belgrove Street , King's Cross","Paddington Street, Marylebone to Belgrove Street , King's Cross",1,1,1,0,0,0,0,0,3
"Speakers' Corner 2, Hyde Park","Paddington Street, Marylebone","Speakers' Corner 2, Hyde Park to Paddington Street, Marylebone",1,0,0,0,0,0,0,0,1
"Grosvenor Square, Mayfair","Bayswater Road, Hyde Park","Grosvenor Square, Mayfair to Bayswater Road, Hyde Park",0,1,0,0,0,0,0,0,1
"Wardour Street, Soho","Grosvenor Square, Mayfair","Wardour Street, Soho to Grosvenor Square, Mayfair",0,1,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","Soho Square , Soho","Russell Square Station, Bloomsbury to Soho Square , Soho",0,1,0,0,0,0,0,0,1
"Tavistock Place, Bloomsbury","Belgrove Street , King's Cross","Tavistock Place, Bloomsbury to Belgrove Street , King's Cross",0,2,0,1,1,0,0,0,4
"Guilford Street , Bloomsbury","Tavistock Place, Bloomsbury","Guilford Street , Bloomsbury to Tavistock Place, Bloomsbury",0,1,0,0,0,0,0,0,1
"Wardour Street, Soho","Guilford Street , Bloomsbury","Wardour Street, Soho to Guilford Street , Bloomsbury",0,1,0,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","Wardour Street, Soho","Speakers' Corner 1, Hyde Park to Wardour Street, Soho",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Bayswater Road, Hyde Park","Nutford Place, Marylebone to Bayswater Road, Hyde Park",0,1,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Notting Hill Gate Station, Notting Hill","Bayswater Road, Hyde Park to Notting Hill Gate Station, Notting Hill",0,1,0,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","Belgrove Street , King's Cross","Speakers' Corner 1, Hyde Park to Belgrove Street , King's Cross",0,4,3,0,0,0,0,0,7
"Notting Hill Gate Station, Notting Hill","Speakers' Corner 1, Hyde Park","Notting Hill Gate Station, Notting Hill to Speakers' Corner 1, Hyde Park",0,1,0,0,0,0,0,0,1
"Notting Hill Gate Station, Notting Hill","Lancaster Gate , Bayswater","Notting Hill Gate Station, Notting Hill to Lancaster Gate , Bayswater",0,1,0,0,0,0,0,0,1
"Westbourne Grove, Bayswater","Speakers' Corner 2, Hyde Park","Westbourne Grove, Bayswater to Speakers' Corner 2, Hyde Park",1,0,1,0,0,0,0,0,2
"Hereford Road, Bayswater","Ilchester Gardens, Bayswater","Hereford Road, Bayswater to Ilchester Gardens, Bayswater",0,1,1,0,0,0,0,0,2
"Whiteley's, Bayswater","Cleveland Gardens, Bayswater","Whiteley's, Bayswater to Cleveland Gardens, Bayswater",0,1,0,0,0,0,0,0,1
"Sloane Avenue, Knightsbridge","Serpentine Car Park, Hyde Park","Sloane Avenue, Knightsbridge to Serpentine Car Park, Hyde Park",0,1,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Lancaster Gate , Bayswater","Bayswater Road, Hyde Park to Lancaster Gate , Bayswater",0,1,2,0,0,0,0,0,3
"Belgrove Street , King's Cross","Warren Street Station, Euston","Belgrove Street , King's Cross to Warren Street Station, Euston",0,2,0,0,0,0,0,0,2
"Whiteley's, Bayswater","Speakers' Corner 1, Hyde Park","Whiteley's, Bayswater to Speakers' Corner 1, Hyde Park",0,1,0,0,0,0,0,0,1
"Warren Street Station, Euston","Belgrove Street , King's Cross","Warren Street Station, Euston to Belgrove Street , King's Cross",0,1,0,0,0,0,0,0,1
"Wardour Street, Soho","Whiteley's, Bayswater","Wardour Street, Soho to Whiteley's, Bayswater",0,1,0,0,0,0,1,0,2
"Cleveland Gardens, Bayswater","Lancaster Gate , Bayswater","Cleveland Gardens, Bayswater to Lancaster Gate , Bayswater",0,1,0,0,0,0,0,0,1
"Queen's Gate (North), Kensington","Sloane Avenue, Knightsbridge","Queen's Gate (North), Kensington to Sloane Avenue, Knightsbridge",0,1,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Cleveland Gardens, Bayswater","Bayswater Road, Hyde Park to Cleveland Gardens, Bayswater",0,1,0,0,0,0,0,0,1
"St. Chad's Street, King's Cross","Belgrove Street , King's Cross","St. Chad's Street, King's Cross to Belgrove Street , King's Cross",0,1,0,0,0,0,0,0,1
"Eastbourne Mews, Paddington","Devonshire Terrace, Bayswater","Eastbourne Mews, Paddington to Devonshire Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Albert Gate, Hyde Park","Queen's Gate (North), Kensington","Albert Gate, Hyde Park to Queen's Gate (North), Kensington",0,1,0,0,0,0,0,0,1
"Cleveland Gardens, Bayswater","Whiteley's, Bayswater","Cleveland Gardens, Bayswater to Whiteley's, Bayswater",0,1,0,1,0,0,0,0,2
"Earnshaw Street , Covent Garden","Craven Street, Strand","Earnshaw Street , Covent Garden to Craven Street, Strand",0,1,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Speakers' Corner 1, Hyde Park","Bayswater Road, Hyde Park to Speakers' Corner 1, Hyde Park",0,1,0,0,0,0,0,0,1
"Devonshire Terrace, Bayswater","Cleveland Gardens, Bayswater","Devonshire Terrace, Bayswater to Cleveland Gardens, Bayswater",0,1,0,0,0,0,0,0,1
"Brunswick Square, Bloomsbury","St. Chad's Street, King's Cross","Brunswick Square, Bloomsbury to St. Chad's Street, King's Cross",0,1,0,0,0,0,0,0,1
"Tavistock Place, Bloomsbury","Moor Street, Soho","Tavistock Place, Bloomsbury to Moor Street, Soho",0,1,1,0,0,0,0,0,2
"Devonshire Terrace, Bayswater","Bayswater Road, Hyde Park","Devonshire Terrace, Bayswater to Bayswater Road, Hyde Park",0,2,1,0,0,0,0,0,3
"Wardour Street, Soho","Albert Gate, Hyde Park","Wardour Street, Soho to Albert Gate, Hyde Park",0,1,0,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Bayswater Road, Hyde Park","Lancaster Gate , Bayswater to Bayswater Road, Hyde Park",0,1,0,0,0,1,1,0,3
"Marylebone Lane, Marylebone","Brunswick Square, Bloomsbury","Marylebone Lane, Marylebone to Brunswick Square, Bloomsbury",0,1,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","Earnshaw Street , Covent Garden","Russell Square Station, Bloomsbury to Earnshaw Street , Covent Garden",0,1,0,0,1,0,0,0,2
"Serpentine Car Park, Hyde Park","Bayswater Road, Hyde Park","Serpentine Car Park, Hyde Park to Bayswater Road, Hyde Park",0,2,2,0,0,0,0,0,4
"Cleveland Gardens, Bayswater","Eastbourne Mews, Paddington","Cleveland Gardens, Bayswater to Eastbourne Mews, Paddington",0,1,0,0,0,0,0,0,1
"Speakers' Corner 1, Hyde Park","Bishop's Bridge Road West, Bayswater","Speakers' Corner 1, Hyde Park to Bishop's Bridge Road West, Bayswater",0,1,0,0,0,0,0,0,1
"Tavistock Place, Bloomsbury","Chapel Place, Marylebone","Tavistock Place, Bloomsbury to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Howland Street, Fitzrovia","Nutford Place, Marylebone to Howland Street, Fitzrovia",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Paddington Street, Marylebone","Nutford Place, Marylebone to Paddington Street, Marylebone",0,1,0,0,0,0,0,0,1
"Howland Street, Fitzrovia","Belgrove Street , King's Cross","Howland Street, Fitzrovia to Belgrove Street , King's Cross",0,1,0,0,0,0,0,0,1
"Cardinal Place, Victoria","Hyde Park Corner, Hyde Park","Cardinal Place, Victoria to Hyde Park Corner, Hyde Park",0,1,0,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Bishop's Bridge Road West, Bayswater","Ilchester Gardens, Bayswater to Bishop's Bridge Road West, Bayswater",0,1,1,0,0,0,0,0,2
"Frith Street, Soho","Cardinal Place, Victoria","Frith Street, Soho to Cardinal Place, Victoria",0,1,0,0,0,0,0,0,1
"Broadwick Street, Soho","Belgrove Street , King's Cross","Broadwick Street, Soho to Belgrove Street , King's Cross",0,1,1,0,0,0,0,0,2
"Westbourne Grove, Bayswater","Hereford Road, Bayswater","Westbourne Grove, Bayswater to Hereford Road, Bayswater",0,1,0,0,0,0,0,0,1
"Bayley Street , Bloomsbury","Earnshaw Street , Covent Garden","Bayley Street , Bloomsbury to Earnshaw Street , Covent Garden",0,1,0,0,0,0,0,0,1
"Earnshaw Street , Covent Garden","Nutford Place, Marylebone","Earnshaw Street , Covent Garden to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Whiteley's, Bayswater","Nutford Place, Marylebone","Whiteley's, Bayswater to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Wardour Street, Soho","Bayswater Road, Hyde Park","Wardour Street, Soho to Bayswater Road, Hyde Park",0,1,3,0,0,0,0,0,4
"Bayswater Road, Hyde Park","Eastbourne Mews, Paddington","Bayswater Road, Hyde Park to Eastbourne Mews, Paddington",0,1,0,0,0,0,0,0,1
"Hyde Park Corner, Hyde Park","Nutford Place, Marylebone","Hyde Park Corner, Hyde Park to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Warren Street Station, Euston","Broadwick Street, Soho","Warren Street Station, Euston to Broadwick Street, Soho",0,1,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Broadwick Street, Soho","Hereford Road, Bayswater to Broadwick Street, Soho",0,1,0,0,0,0,0,0,1
"Albert Gate, Hyde Park","Serpentine Car Park, Hyde Park","Albert Gate, Hyde Park to Serpentine Car Park, Hyde Park",0,2,0,0,0,0,0,0,2
"Serpentine Car Park, Hyde Park","Lancaster Gate , Bayswater","Serpentine Car Park, Hyde Park to Lancaster Gate , Bayswater",0,1,0,0,0,0,0,0,1
"Bayswater Road, Hyde Park","Devonshire Terrace, Bayswater","Bayswater Road, Hyde Park to Devonshire Terrace, Bayswater",0,2,1,0,0,0,0,0,3
"Ilchester Gardens, Bayswater","Ilchester Gardens, Bayswater","Ilchester Gardens, Bayswater to Ilchester Gardens, Bayswater",0,1,0,0,0,0,0,0,1
"Nutford Place, Marylebone","Chapel Place, Marylebone","Nutford Place, Marylebone to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Chapel Place, Marylebone","British Museum, Bloomsbury","Chapel Place, Marylebone to British Museum, Bloomsbury",0,1,0,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Ilchester Gardens, Bayswater","Lancaster Gate , Bayswater to Ilchester Gardens, Bayswater",0,2,0,0,1,1,0,0,4
"Whiteley's, Bayswater","Speakers' Corner 2, Hyde Park","Whiteley's, Bayswater to Speakers' Corner 2, Hyde Park",0,1,0,0,0,1,0,0,2
"Speakers' Corner 2, Hyde Park","Chapel Place, Marylebone","Speakers' Corner 2, Hyde Park to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Princes Square, Bayswater","Whiteley's, Bayswater","Princes Square, Bayswater to Whiteley's, Bayswater",0,1,0,0,0,0,0,0,1
"Eastbourne Mews, Paddington","Princes Square, Bayswater","Eastbourne Mews, Paddington to Princes Square, Bayswater",0,1,1,0,0,0,0,0,2
"Bayswater Road, Hyde Park","Ashley Place, Victoria","Bayswater Road, Hyde Park to Ashley Place, Victoria",0,1,0,0,0,0,0,0,1
"Wellington Arch, Hyde Park","Bayswater Road, Hyde Park","Wellington Arch, Hyde Park to Bayswater Road, Hyde Park",0,1,2,0,0,0,0,0,3
"Ashley Place, Victoria","Bayswater Road, Hyde Park","Ashley Place, Victoria to Bayswater Road, Hyde Park",0,1,0,0,0,0,0,0,1
"Southampton Place, Holborn","Wellington Arch, Hyde Park","Southampton Place, Holborn to Wellington Arch, Hyde Park",0,1,0,0,0,0,0,0,1
"Earnshaw Street , Covent Garden","Albert Gate, Hyde Park","Earnshaw Street , Covent Garden to Albert Gate, Hyde Park",0,1,0,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Nutford Place, Marylebone","Bishop's Bridge Road West, Bayswater to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Serpentine Car Park, Hyde Park","Albert Gate, Hyde Park","Serpentine Car Park, Hyde Park to Albert Gate, Hyde Park",0,1,0,0,0,0,0,0,1
"Notting Hill Gate Station, Notting Hill","Pembridge Villas, Notting Hill","Notting Hill Gate Station, Notting Hill to Pembridge Villas, Notting Hill",0,1,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Eastbourne Mews, Paddington","Hereford Road, Bayswater to Eastbourne Mews, Paddington",0,1,0,0,0,0,0,0,1
"Brunswick Square, Bloomsbury","Moor Street, Soho","Brunswick Square, Bloomsbury to Moor Street, Soho",0,1,0,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Pembridge Villas, Notting Hill","Bishop's Bridge Road West, Bayswater to Pembridge Villas, Notting Hill",0,3,1,0,0,0,0,0,4
"Westbourne Grove, Bayswater","Speakers' Corner 1, Hyde Park","Westbourne Grove, Bayswater to Speakers' Corner 1, Hyde Park",0,1,0,0,0,0,1,0,2
"Wardour Street, Soho","Bishop's Bridge Road West, Bayswater","Wardour Street, Soho to Bishop's Bridge Road West, Bayswater",0,1,2,2,8,3,3,0,19
"Princes Square, Bayswater","Speakers' Corner 1, Hyde Park","Princes Square, Bayswater to Speakers' Corner 1, Hyde Park",0,1,0,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","British Museum, Bloomsbury","Russell Square Station, Bloomsbury to British Museum, Bloomsbury",0,1,0,0,0,1,0,0,2
"Speakers' Corner 1, Hyde Park","Tavistock Place, Bloomsbury","Speakers' Corner 1, Hyde Park to Tavistock Place, Bloomsbury",0,1,0,0,0,0,0,0,1
"Pembridge Villas, Notting Hill","Notting Hill Gate Station, Notting Hill","Pembridge Villas, Notting Hill to Notting Hill Gate Station, Notting Hill",0,1,0,0,0,0,0,0,1
"Marylebone Lane, Marylebone","Bayswater Road, Hyde Park","Marylebone Lane, Marylebone to Bayswater Road, Hyde Park",0,1,0,1,0,0,0,0,2
"Black Lion Gate, Kensington Gardens","Speakers' Corner 2, Hyde Park","Black Lion Gate, Kensington Gardens to Speakers' Corner 2, Hyde Park",0,1,0,0,0,0,0,0,1
"Frith Street, Soho","Bishop's Bridge Road West, Bayswater","Frith Street, Soho to Bishop's Bridge Road West, Bayswater",0,1,1,2,0,0,0,0,4
"Pembridge Villas, Notting Hill","Bishop's Bridge Road West, Bayswater","Pembridge Villas, Notting Hill to Bishop's Bridge Road West, Bayswater",0,1,0,1,0,0,0,0,2
"Speakers' Corner 1, Hyde Park","Chapel Place, Marylebone","Speakers' Corner 1, Hyde Park to Chapel Place, Marylebone",0,1,0,0,0,0,0,0,1
"Hereford Road, Bayswater","Black Lion Gate, Kensington Gardens","Hereford Road, Bayswater to Black Lion Gate, Kensington Gardens",0,1,0,0,0,0,0,0,1
"Palace Gardens Terrace, Notting Hill","Devonshire Terrace, Bayswater","Palace Gardens Terrace, Notting Hill to Devonshire Terrace, Bayswater",0,1,0,0,0,0,0,0,1
"Pembridge Villas, Notting Hill","Palace Gardens Terrace, Notting Hill","Pembridge Villas, Notting Hill to Palace Gardens Terrace, Notting Hill",0,1,0,0,0,0,0,0,1
"Hyde Park Corner, Hyde Park","Serpentine Car Park, Hyde Park","Hyde Park Corner, Hyde Park to Serpentine Car Park, Hyde Park",0,0,1,0,0,0,0,0,1
"Pembridge Villas, Notting Hill","Hereford Road, Bayswater","Pembridge Villas, Notting Hill to Hereford Road, Bayswater",0,0,1,0,0,0,0,0,1
"Phillimore Gardens, Kensington","Campden Hill Road, Notting Hill","Phillimore Gardens, Kensington to Campden Hill Road, Notting Hill",0,0,1,0,0,0,0,0,1
"Whiteley's, Bayswater","Russell Square Station, Bloomsbury","Whiteley's, Bayswater to Russell Square Station, Bloomsbury",0,0,1,0,0,0,0,0,1
"Moor Street, Soho","Hyde Park Corner, Hyde Park","Moor Street, Soho to Hyde Park Corner, Hyde Park",0,0,1,0,0,0,0,0,1
"Albert Gate, Hyde Park","Flood Street, Chelsea","Albert Gate, Hyde Park to Flood Street, Chelsea",0,0,1,0,0,0,0,0,1
"Harriet Street, Knightsbridge","Serpentine Car Park, Hyde Park","Harriet Street, Knightsbridge to Serpentine Car Park, Hyde Park",0,0,1,0,0,0,0,0,1
"Ilchester Gardens, Bayswater","Whiteley's, Bayswater","Ilchester Gardens, Bayswater to Whiteley's, Bayswater",0,0,1,1,2,1,1,0,6
"Elizabeth Bridge, Victoria","Harriet Street, Knightsbridge","Elizabeth Bridge, Victoria to Harriet Street, Knightsbridge",0,0,1,0,0,0,0,0,1
"Campden Hill Road, Notting Hill","Ilchester Gardens, Bayswater","Campden Hill Road, Notting Hill to Ilchester Gardens, Bayswater",0,0,1,0,0,0,0,0,1
"Devonshire Terrace, Bayswater","Albert Gate, Hyde Park","Devonshire Terrace, Bayswater to Albert Gate, Hyde Park",0,0,2,0,0,0,0,0,2
"Pembridge Villas, Notting Hill","Phillimore Gardens, Kensington","Pembridge Villas, Notting Hill to Phillimore Gardens, Kensington",0,0,1,0,0,0,0,0,1
"Cleveland Gardens, Bayswater","Pembridge Villas, Notting Hill","Cleveland Gardens, Bayswater to Pembridge Villas, Notting Hill",0,0,1,0,0,0,0,0,1
"Flood Street, Chelsea","Elizabeth Bridge, Victoria","Flood Street, Chelsea to Elizabeth Bridge, Victoria",0,0,1,0,0,0,0,0,1
"Cleveland Gardens, Bayswater","Cleveland Gardens, Bayswater","Cleveland Gardens, Bayswater to Cleveland Gardens, Bayswater",0,0,1,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Bishop's Bridge Road West, Bayswater","Lancaster Gate , Bayswater to Bishop's Bridge Road West, Bayswater",0,0,3,0,2,0,0,0,5
"Devonshire Terrace, Bayswater","Bishop's Bridge Road East, Bayswater","Devonshire Terrace, Bayswater to Bishop's Bridge Road East, Bayswater",0,0,1,0,0,0,0,0,1
"Frith Street, Soho","Wellington Arch, Hyde Park","Frith Street, Soho to Wellington Arch, Hyde Park",0,0,2,0,0,0,0,0,2
"Red Lion Street, Holborn","Cumberland Gate, Hyde Park","Red Lion Street, Holborn to Cumberland Gate, Hyde Park",0,0,1,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Bishop's Bridge Road East, Bayswater","Bishop's Bridge Road West, Bayswater to Bishop's Bridge Road East, Bayswater",0,0,1,0,0,0,0,0,1
"Hereford Road, Bayswater","Paddington Street, Marylebone","Hereford Road, Bayswater to Paddington Street, Marylebone",0,0,1,0,0,0,0,0,1
"Southampton Place, Holborn","Earnshaw Street , Covent Garden","Southampton Place, Holborn to Earnshaw Street , Covent Garden",0,0,1,0,1,0,0,0,2
"Great Russell Street, Bloomsbury","Bayswater Road, Hyde Park","Great Russell Street, Bloomsbury to Bayswater Road, Hyde Park",0,0,1,0,0,0,0,0,1
"Rathbone Street, Fitzrovia ","Paddington Street, Marylebone","Rathbone Street, Fitzrovia  to Paddington Street, Marylebone",0,0,1,0,0,0,0,0,1
"Russell Square Station, Bloomsbury","Rathbone Street, Fitzrovia ","Russell Square Station, Bloomsbury to Rathbone Street, Fitzrovia ",0,0,1,0,0,0,0,0,1
"Cardinal Place, Victoria","Northumberland Avenue, Strand","Cardinal Place, Victoria to Northumberland Avenue, Strand",0,0,1,0,0,0,0,0,1
"Belgrave Square, Belgravia","Cardinal Place, Victoria","Belgrave Square, Belgravia to Cardinal Place, Victoria",0,0,1,0,0,0,0,0,1
"Northumberland Avenue, Strand","Moor Street, Soho","Northumberland Avenue, Strand to Moor Street, Soho",0,0,1,0,0,0,0,0,1
"Paddington Street, Marylebone","Nutford Place, Marylebone","Paddington Street, Marylebone to Nutford Place, Marylebone",0,0,1,0,0,0,0,0,1
"Queen's Gate (North), Kensington","Holy Trinity Brompton, Knightsbridge","Queen's Gate (North), Kensington to Holy Trinity Brompton, Knightsbridge",0,0,1,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Black Lion Gate, Kensington Gardens","Bishop's Bridge Road West, Bayswater to Black Lion Gate, Kensington Gardens",0,0,1,0,0,0,0,0,1
"Moor Street, Soho","Devonshire Terrace, Bayswater","Moor Street, Soho to Devonshire Terrace, Bayswater",0,0,1,0,2,0,0,0,3
"Holy Trinity Brompton, Knightsbridge","Belgrave Square, Belgravia","Holy Trinity Brompton, Knightsbridge to Belgrave Square, Belgravia",0,0,1,0,0,0,0,0,1
"Black Lion Gate, Kensington Gardens","Queen's Gate (North), Kensington","Black Lion Gate, Kensington Gardens to Queen's Gate (North), Kensington",0,0,1,0,0,0,0,0,1
"Belgrove Street , King's Cross","Wardour Street, Soho","Belgrove Street , King's Cross to Wardour Street, Soho",0,0,5,3,3,2,2,0,15
"Wardour Street, Soho","Eastbourne Mews, Paddington","Wardour Street, Soho to Eastbourne Mews, Paddington",0,0,1,0,0,0,0,0,1
"Brunswick Square, Bloomsbury","Belgrove Street , King's Cross","Brunswick Square, Bloomsbury to Belgrove Street , King's Cross",0,0,3,1,1,1,1,1,8
"Speakers' Corner 2, Hyde Park","Brunswick Square, Bloomsbury","Speakers' Corner 2, Hyde Park to Brunswick Square, Bloomsbury",0,0,1,0,0,0,0,0,1
"Princes Square, Bayswater","Speakers' Corner 2, Hyde Park","Princes Square, Bayswater to Speakers' Corner 2, Hyde Park",0,0,2,0,0,0,0,0,2
"Princes Square, Bayswater","Bishop's Bridge Road West, Bayswater","Princes Square, Bayswater to Bishop's Bridge Road West, Bayswater",0,0,1,0,0,0,0,0,1
"Palace Gardens Terrace, Notting Hill","Marloes Road, Kensington","Palace Gardens Terrace, Notting Hill to Marloes Road, Kensington",0,0,1,0,0,0,0,0,1
"Hyde Park Corner, Hyde Park","Craven Street, Strand","Hyde Park Corner, Hyde Park to Craven Street, Strand",0,0,3,0,0,0,0,0,3
"Chepstow Villas, Notting Hill","Palace Gardens Terrace, Notting Hill","Chepstow Villas, Notting Hill to Palace Gardens Terrace, Notting Hill",0,0,1,0,0,0,0,0,1
"Craven Street, Strand","Brunswick Square, Bloomsbury","Craven Street, Strand to Brunswick Square, Bloomsbury",0,0,1,0,0,0,0,0,1
"Pembridge Villas, Notting Hill","Chepstow Villas, Notting Hill","Pembridge Villas, Notting Hill to Chepstow Villas, Notting Hill",0,0,1,0,0,0,0,0,1
"Albert Gate, Hyde Park","Bishop's Bridge Road West, Bayswater","Albert Gate, Hyde Park to Bishop's Bridge Road West, Bayswater",0,0,3,1,0,1,0,0,5
"Bayswater Road, Hyde Park","Hyde Park Corner, Hyde Park","Bayswater Road, Hyde Park to Hyde Park Corner, Hyde Park",0,0,1,0,0,0,0,0,1
"Royal Avenue 1, Chelsea","Albert Gate, Hyde Park","Royal Avenue 1, Chelsea to Albert Gate, Hyde Park",0,0,1,0,0,0,0,0,1
"Marloes Road, Kensington","Royal Avenue 1, Chelsea","Marloes Road, Kensington to Royal Avenue 1, Chelsea",0,0,1,0,0,0,0,0,1
"Royal Avenue 2, Chelsea","Albert Gate, Hyde Park","Royal Avenue 2, Chelsea to Albert Gate, Hyde Park",0,0,1,0,0,0,0,0,1
"Earnshaw Street , Covent Garden","Wardour Street, Soho","Earnshaw Street , Covent Garden to Wardour Street, Soho",0,0,2,0,1,0,0,0,3
"Lancaster Gate , Bayswater","Broadwick Street, Soho","Lancaster Gate , Bayswater to Broadwick Street, Soho",0,0,1,1,0,0,0,0,2
"Bishop's Bridge Road West, Bayswater","Royal Avenue 2, Chelsea","Bishop's Bridge Road West, Bayswater to Royal Avenue 2, Chelsea",0,0,1,0,0,0,0,0,1
"Frith Street, Soho","Chapel Place, Marylebone","Frith Street, Soho to Chapel Place, Marylebone",0,0,1,0,0,0,0,0,1
"Moor Street, Soho","Lancaster Gate , Bayswater","Moor Street, Soho to Lancaster Gate , Bayswater",0,0,1,0,0,0,0,0,1
"Howland Street, Fitzrovia","Moor Street, Soho","Howland Street, Fitzrovia to Moor Street, Soho",0,0,1,0,1,0,0,0,2
"Wardour Street, Soho","Broadwick Street, Soho","Wardour Street, Soho to Broadwick Street, Soho",0,0,1,0,0,0,0,0,1
"Belgrove Street , King's Cross","Howland Street, Fitzrovia","Belgrove Street , King's Cross to Howland Street, Fitzrovia",0,0,2,0,1,0,0,0,3
"Wardour Street, Soho","Devonshire Terrace, Bayswater","Wardour Street, Soho to Devonshire Terrace, Bayswater",0,0,1,0,0,1,0,0,2
"Speakers' Corner 1, Hyde Park","British Museum, Bloomsbury","Speakers' Corner 1, Hyde Park to British Museum, Bloomsbury",0,0,1,0,0,0,0,0,1
"Wellington Road, St. John's Wood","Lancaster Gate , Bayswater","Wellington Road, St. John's Wood to Lancaster Gate , Bayswater",0,0,1,0,0,1,0,0,2
"Hereford Road, Bayswater","Wardour Street, Soho","Hereford Road, Bayswater to Wardour Street, Soho",0,0,2,0,0,0,0,0,2
"Wardour Street, Soho","Soho Square , Soho","Wardour Street, Soho to Soho Square , Soho",0,0,1,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Wellington Road, St. John's Wood","Bishop's Bridge Road West, Bayswater to Wellington Road, St. John's Wood",0,0,1,0,0,0,0,0,1
"Wardour Street, Soho","Hyde Park Corner, Hyde Park","Wardour Street, Soho to Hyde Park Corner, Hyde Park",0,0,1,0,0,0,0,0,1
"Hyde Park Corner, Hyde Park","Bishop's Bridge Road West, Bayswater","Hyde Park Corner, Hyde Park to Bishop's Bridge Road West, Bayswater",0,0,2,1,0,0,0,0,3
"Great Russell Street, Bloomsbury","Belgrove Street , King's Cross","Great Russell Street, Bloomsbury to Belgrove Street , King's Cross",0,0,1,0,0,1,3,0,5
"Lancaster Gate , Bayswater","Wardour Street, Soho","Lancaster Gate , Bayswater to Wardour Street, Soho",0,0,1,0,1,0,0,0,2
"Ashley Place, Victoria","Albert Gate, Hyde Park","Ashley Place, Victoria to Albert Gate, Hyde Park",0,0,1,0,0,0,0,0,1
"Albert Gate, Hyde Park","Whiteley's, Bayswater","Albert Gate, Hyde Park to Whiteley's, Bayswater",0,0,1,0,0,0,0,0,1
"Moor Street, Soho","Ashley Place, Victoria","Moor Street, Soho to Ashley Place, Victoria",0,0,1,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Bayswater Road, Hyde Park","Bishop's Bridge Road West, Bayswater to Bayswater Road, Hyde Park",0,0,1,1,0,0,0,0,2
"St. Chad's Street, King's Cross","Brunswick Square, Bloomsbury","St. Chad's Street, King's Cross to Brunswick Square, Bloomsbury",0,0,2,0,0,0,0,0,2
"Craven Street, Strand","Wellington Street , Strand","Craven Street, Strand to Wellington Street , Strand",0,0,1,0,0,0,0,0,1
"Natural History Museum, South Kensington","Manresa Road, Chelsea","Natural History Museum, South Kensington to Manresa Road, Chelsea",0,0,1,0,0,0,0,0,1
"Millennium Hotel, Mayfair","Bishop's Bridge Road West, Bayswater","Millennium Hotel, Mayfair to Bishop's Bridge Road West, Bayswater",0,0,1,0,0,0,0,0,1
